"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"98 - MISSING","Overall","94 - DON T KNOW","0.014","0.007","0.005","0.038","1","0","N/A","N/A","0.014","0.007","0.005","0.038","25000","5","13000"
"Overall","1 - Male","94 - DON T KNOW","0.413","0.0531","0.312","0.522","0.413","0.0531","0.312","0.522","1","0","N/A","N/A","717000","103","132000"
"1 - Within the past 30 days","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","94 - DON T KNOW","0.001","0.001","0","0.007","0.143","0.1533","0.013","0.673","0.002","0.0024","0","0.018","2000","1","2000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","94 - DON T KNOW","0.403","0.0502","0.307","0.506","0.415","0.0524","0.315","0.523","0.976","0.0138","0.926","0.992","699000","100","126000"
"97 - REFUSED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","94 - DON T KNOW","0.009","0.0062","0.002","0.035","0.627","0.2345","0.183","0.927","0.022","0.0138","0.006","0.076","16000","2","11000"
"Overall","2 - Female","94 - DON T KNOW","0.587","0.0531","0.478","0.688","0.587","0.0531","0.478","0.688","1","0","N/A","N/A","1020000","193","100000"
"1 - Within the past 30 days","2 - Female","94 - DON T KNOW","0.008","0.0082","0.001","0.059","1","0","N/A","N/A","0.014","0.0139","0.002","0.096","14000","1","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","94 - DON T KNOW","0.006","0.0045","0.001","0.027","0.857","0.1533","0.327","0.987","0.01","0.0077","0.002","0.045","10000","2","8000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","94 - DON T KNOW","0.568","0.0527","0.46","0.669","0.585","0.0524","0.477","0.685","0.967","0.0169","0.91","0.988","985000","187","98000"
"97 - REFUSED","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","94 - DON T KNOW","0.005","0.0037","0.001","0.021","0.373","0.2345","0.073","0.817","0.009","0.0063","0.002","0.036","9000","3","6000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","3858000","604","257000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0.001","0.0015","0","0.011","1","0","N/A","N/A","0.001","0.0015","0","0.011","6000","1","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0","0.0004","0","0.003","1","0","N/A","N/A","0","0.0004","0","0.003","1000","1","1000"
"3 - More than 12 months ago","Overall","97 - REFUSED","0.005","0.0025","0.002","0.013","1","0","N/A","N/A","0.005","0.0025","0.002","0.013","18000","4","9000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0.001","0.001","0","0.007","1","0","N/A","N/A","0.001","0.001","0","0.007","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","97 - REFUSED","0.979","0.0064","0.961","0.988","1","0","N/A","N/A","0.979","0.0064","0.961","0.988","3776000","585","250000"
"97 - REFUSED","Overall","97 - REFUSED","0.014","0.0053","0.006","0.029","1","0","N/A","N/A","0.014","0.0053","0.006","0.029","53000","11","21000"
"98 - MISSING","Overall","97 - REFUSED","0","0.0003","0","0.002","1","0","N/A","N/A","0","0.0003","0","0.002","1000","1","1000"
"Overall","1 - Male","97 - REFUSED","0.345","0.0273","0.293","0.402","0.345","0.0273","0.293","0.402","1","0","N/A","N/A","1332000","230","128000"
"1 - Within the past 30 days","1 - Male","97 - REFUSED","0.001","0.0015","0","0.011","1","0","N/A","N/A","0.004","0.0042","0.001","0.031","6000","1","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","97 - REFUSED","0.002","0.0013","0","0.008","0.364","0.2447","0.064","0.827","0.005","0.0039","0.001","0.024","6000","2","5000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","97 - REFUSED","0.001","0.001","0","0.007","1","0","N/A","N/A","0.003","0.0029","0","0.022","4000","1","4000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","97 - REFUSED","0.335","0.0277","0.281","0.392","0.342","0.0277","0.289","0.399","0.969","0.0103","0.94","0.984","1291000","218","129000"
"97 - REFUSED","1 - Male","97 - REFUSED","0.006","0.0026","0.003","0.014","0.454","0.1892","0.152","0.794","0.018","0.0077","0.008","0.042","24000","7","10000"
"98 - MISSING","1 - Male","97 - REFUSED","0","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0009","0","0.007","1000","1","1000"
"Overall","2 - Female","97 - REFUSED","0.655","0.0273","0.598","0.707","0.655","0.0273","0.598","0.707","1","0","N/A","N/A","2526000","374","210000"
"1 - Within the past 30 days","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","97 - REFUSED","0","0.0004","0","0.003","1","0","N/A","N/A","0.001","0.0006","0","0.004","1000","1","1000"
"3 - More than 12 months ago","2 - Female","97 - REFUSED","0.003","0.0021","0.001","0.012","0.636","0.2447","0.173","0.936","0.004","0.0031","0.001","0.018","11000","2","8000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","97 - REFUSED","0.644","0.0264","0.59","0.695","0.658","0.0277","0.601","0.711","0.984","0.0076","0.959","0.994","2485000","367","203000"
"97 - REFUSED","2 - Female","97 - REFUSED","0.007","0.0047","0.002","0.026","0.546","0.1892","0.206","0.848","0.011","0.0071","0.003","0.039","29000","4","19000"
"98 - MISSING","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","82000","12","34000"
"1 - Within the past 30 days","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","98 - BLANK","0.019","0.0203","0.002","0.147","1","0","N/A","N/A","0.019","0.0203","0.002","0.147","2000","1","2000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","98 - BLANK","0.981","0.0203","0.853","0.998","1","0","N/A","N/A","0.981","0.0203","0.853","0.998","80000","11","34000"
"97 - REFUSED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male","98 - BLANK","0.611","0.1853","0.247","0.882","0.611","0.1853","0.247","0.882","1","0","N/A","N/A","50000","7","28000"
"1 - Within the past 30 days","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","98 - BLANK","0.019","0.0203","0.002","0.147","1","0","N/A","N/A","0.031","0.0347","0.003","0.245","2000","1","2000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","98 - BLANK","0.592","0.1869","0.235","0.873","0.603","0.1892","0.237","0.882","0.969","0.0347","0.755","0.997","48000","6","28000"
"97 - REFUSED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","98 - BLANK","0.389","0.1853","0.118","0.753","0.389","0.1853","0.118","0.753","1","0","N/A","N/A","32000","5","18000"
"1 - Within the past 30 days","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","98 - BLANK","0.389","0.1853","0.118","0.753","0.397","0.1892","0.118","0.763","1","0","N/A","N/A","32000","5","18000"
"97 - REFUSED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","24896000","13287","405000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","6000","3","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","1000","2","1000"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","5000","5","3000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.997","0.0006","0.996","0.998","1","0","N/A","N/A","0.997","0.0006","0.996","0.998","24828000","13255","404000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","8000","3","5000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.002","0.0006","0.001","0.003","1","0","N/A","N/A","0.002","0.0006","0.001","0.003","47000","19","14000"
"Overall","1 - Male","99 - LEGITIMATE SKIP","0.509","0.0056","0.498","0.52","0.509","0.0056","0.498","0.52","1","0","N/A","N/A","12677000","6786","242000"
"1 - Within the past 30 days","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0003","0","0.002","6000","3","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.661","0.2336","0.194","0.941","0","0.0002","0","0.001","3000","2","2000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","99 - LEGITIMATE SKIP","0.507","0.0056","0.496","0.518","0.509","0.0056","0.497","0.52","0.996","0.0012","0.993","0.998","12628000","6766","241000"
"97 - REFUSED","1 - Male","99 - LEGITIMATE SKIP","0","0","0","0","0.105","0.117","0.009","0.589","0","0.0001","0","0","1000","1","1000"
"98 - MISSING","1 - Male","99 - LEGITIMATE SKIP","0.002","0.0006","0.001","0.003","0.832","0.096","0.555","0.951","0.003","0.0011","0.002","0.006","39000","14","14000"
"Overall","2 - Female","99 - LEGITIMATE SKIP","0.491","0.0056","0.48","0.502","0.491","0.0056","0.48","0.502","1","0","N/A","N/A","12218000","6501","249000"
"1 - Within the past 30 days","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","1000","2","1000"
"3 - More than 12 months ago","2 - Female","99 - LEGITIMATE SKIP","0","0","0","0","0.339","0.2336","0.059","0.806","0","0.0001","0","0.001","2000","3","1000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","99 - LEGITIMATE SKIP","0.49","0.0056","0.479","0.501","0.491","0.0056","0.48","0.503","0.999","0.0006","0.997","0.999","12200000","6489","248000"
"97 - REFUSED","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.895","0.117","0.411","0.991","0.001","0.0004","0","0.003","7000","2","5000"
"98 - MISSING","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.168","0.096","0.049","0.445","0.001","0.0004","0","0.002","8000","5","5000"
