"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"9 - At some point in the lifetime LOG ASSN","2 - Female","97 - REFUSED","0.002","0.0022","0","0.016","1","0","N/A","N/A","0.004","0.0039","0","0.029","4000","1","4000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","97 - REFUSED","0.547","0.0402","0.466","0.626","0.565","0.039","0.486","0.641","0.961","0.0231","0.877","0.989","1031000","259","116000"
"97 - REFUSED","2 - Female","97 - REFUSED","0.019","0.0132","0.005","0.074","0.752","0.2114","0.237","0.967","0.034","0.0234","0.008","0.128","37000","4","25000"
"98 - MISSING","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","4884000","1219","271000"
"1 - Within the past 30 days","Overall","98 - BLANK","0.005","0.0034","0.002","0.019","1","0","N/A","N/A","0.005","0.0034","0.002","0.019","26000","9","16000"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0.005","0.0045","0.001","0.028","1","0","N/A","N/A","0.005","0.0045","0.001","0.028","27000","2","21000"
"3 - More than 12 months ago","Overall","98 - BLANK","0.023","0.01","0.01","0.055","1","0","N/A","N/A","0.023","0.01","0.01","0.055","112000","22","51000"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","0","1","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","98 - BLANK","0.764","0.0242","0.712","0.809","1","0","N/A","N/A","0.764","0.0242","0.712","0.809","3731000","962","235000"
"97 - REFUSED","Overall","98 - BLANK","0.005","0.0048","0.001","0.032","1","0","N/A","N/A","0.005","0.0048","0.001","0.032","26000","3","24000"
"98 - MISSING","Overall","98 - BLANK","0.197","0.022","0.157","0.245","1","0","N/A","N/A","0.197","0.022","0.157","0.245","962000","220","119000"
"Overall","1 - Male","98 - BLANK","0.515","0.0245","0.466","0.564","0.515","0.0245","0.466","0.564","1","0","N/A","N/A","2516000","532","176000"
"1 - Within the past 30 days","1 - Male","98 - BLANK","0.004","0.0033","0.001","0.02","0.81","0.1665","0.327","0.974","0.008","0.0064","0.002","0.038","21000","5","16000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","98 - BLANK","0.005","0.0045","0.001","0.028","1","0","N/A","N/A","0.011","0.0087","0.002","0.054","27000","2","21000"
"3 - More than 12 months ago","1 - Male","98 - BLANK","0.016","0.0098","0.005","0.053","0.706","0.1549","0.349","0.915","0.032","0.0188","0.009","0.101","79000","11","49000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","98 - BLANK","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","0","1","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","98 - BLANK","0.379","0.0291","0.322","0.439","0.496","0.0306","0.435","0.557","0.735","0.0399","0.648","0.807","1850000","420","163000"
"97 - REFUSED","1 - Male","98 - BLANK","0","0.0002","0","0.001","0.034","0.045","0.002","0.36","0","0.0003","0","0.003","1000","1","1000"
"98 - MISSING","1 - Male","98 - BLANK","0.11","0.0175","0.079","0.151","0.559","0.0581","0.441","0.67","0.214","0.0342","0.153","0.29","538000","92","93000"
"Overall","2 - Female","98 - BLANK","0.485","0.0245","0.436","0.534","0.485","0.0245","0.436","0.534","1","0","N/A","N/A","2369000","687","185000"
"1 - Within the past 30 days","2 - Female","98 - BLANK","0.001","0.0008","0","0.005","0.19","0.1665","0.026","0.673","0.002","0.0016","0","0.01","5000","4","4000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","98 - BLANK","0.007","0.0028","0.003","0.015","0.294","0.1549","0.085","0.651","0.014","0.0057","0.006","0.031","33000","11","14000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","98 - BLANK","0.385","0.0231","0.34","0.433","0.504","0.0306","0.443","0.565","0.794","0.0283","0.732","0.845","1881000","542","165000"
"97 - REFUSED","2 - Female","98 - BLANK","0.005","0.0048","0.001","0.033","0.966","0.045","0.64","0.998","0.01","0.01","0.002","0.068","25000","2","24000"
"98 - MISSING","2 - Female","98 - BLANK","0.087","0.0143","0.062","0.12","0.441","0.0581","0.33","0.559","0.179","0.0273","0.131","0.241","425000","128","70000"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","25726000","11969","738000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","2000","1","2000"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","8000","8","4000"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.002","1","0","N/A","N/A","0","0.0002","0","0.002","6000","1","6000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.996","0.0012","0.993","0.998","1","0","N/A","N/A","0.996","0.0012","0.993","0.998","25632000","11931","731000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0","0.0003","0","0.002","1","0","N/A","N/A","0","0.0003","0","0.002","10000","4","7000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.003","0.001","0.001","0.006","1","0","N/A","N/A","0.003","0.001","0.001","0.006","69000","24","27000"
"Overall","1 - Male","99 - LEGITIMATE SKIP","0.512","0.0088","0.494","0.529","0.512","0.0088","0.494","0.529","1","0","N/A","N/A","13159000","6195","466000"
"1 - Within the past 30 days","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","2000","1","2000"
"3 - More than 12 months ago","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.52","0.251","0.126","0.891","0","0.0002","0","0.001","4000","4","3000"
"9 - At some point in the lifetime LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","1 - Male","99 - LEGITIMATE SKIP","0.509","0.0087","0.492","0.527","0.511","0.0087","0.494","0.529","0.996","0.0017","0.991","0.998","13102000","6170","463000"
"97 - REFUSED","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.305","0.2617","0.035","0.84","0","0.0002","0","0.001","3000","2","2000"
"98 - MISSING","1 - Male","99 - LEGITIMATE SKIP","0.002","0.0009","0.001","0.005","0.705","0.1836","0.289","0.933","0.004","0.0017","0.001","0.009","48000","18","23000"
"Overall","2 - Female","99 - LEGITIMATE SKIP","0.488","0.0088","0.471","0.506","0.488","0.0088","0.471","0.506","1","0","N/A","N/A","12567000","5774","398000"
"1 - Within the past 30 days","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.48","0.251","0.109","0.874","0","0.0002","0","0.001","4000","4","2000"
"9 - At some point in the lifetime LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.002","1","0","N/A","N/A","0","0.0005","0","0.004","6000","1","6000"
"91 - NEVER USED ANY DRUG WITH A NEEDLE","2 - Female","99 - LEGITIMATE SKIP","0.487","0.0087","0.47","0.504","0.489","0.0087","0.471","0.506","0.997","0.0014","0.993","0.999","12530000","5761","392000"
"97 - REFUSED","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.002","0.695","0.2617","0.16","0.965","0.001","0.0005","0","0.004","7000","2","6000"
"98 - MISSING","2 - Female","99 - LEGITIMATE SKIP","0.001","0.0006","0","0.003","0.295","0.1836","0.067","0.711","0.002","0.0012","0","0.007","20000","6","15000"
