"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"98 - MISSING","2 - Female","94 - DON T KNOW","0.013","0.013","0.002","0.09","0.777","0.2087","0.237","0.975","0.021","0.0203","0.003","0.135","22000","1","22000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","3719000","586","212000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.001","0.0008","0","0.006","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","97 - REFUSED","0.003","0.0018","0.001","0.01","1","0","N/A","N/A","0.003","0.0018","0.001","0.01","13000","5","7000"
"8 - At some point in the past 12 months LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","97 - REFUSED","0.974","0.0084","0.951","0.987","1","0","N/A","N/A","0.974","0.0084","0.951","0.987","3622000","567","207000"
"97 - REFUSED","Overall","97 - REFUSED","0.021","0.0087","0.009","0.048","1","0","N/A","N/A","0.021","0.0087","0.009","0.048","80000","11","33000"
"98 - MISSING","Overall","97 - REFUSED","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","1000","2","1000"
"Overall","1 - Male","97 - REFUSED","0.384","0.0278","0.33","0.441","0.384","0.0278","0.33","0.441","1","0","N/A","N/A","1427000","228","122000"
"1 - Within the past 30 days","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","97 - REFUSED","0.003","0.0018","0.001","0.01","0.883","0.1197","0.425","0.987","0.008","0.0045","0.003","0.025","11000","4","7000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","97 - REFUSED","0.375","0.0278","0.321","0.433","0.385","0.0294","0.328","0.446","0.978","0.0111","0.94","0.992","1396000","221","119000"
"97 - REFUSED","1 - Male","97 - REFUSED","0.005","0.0041","0.001","0.025","0.246","0.1642","0.052","0.659","0.014","0.0107","0.003","0.063","20000","3","15000"
"98 - MISSING","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","97 - REFUSED","0.616","0.0278","0.559","0.67","0.616","0.0278","0.559","0.67","1","0","N/A","N/A","2292000","358","178000"
"1 - Within the past 30 days","2 - Female","97 - REFUSED","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.001","0.0013","0","0.009","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","97 - REFUSED","0","0.0004","0","0.003","0.117","0.1197","0.013","0.575","0.001","0.0007","0","0.005","2000","1","2000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","97 - REFUSED","0.599","0.0305","0.536","0.658","0.615","0.0294","0.554","0.672","0.972","0.0127","0.931","0.988","2226000","346","181000"
"97 - REFUSED","2 - Female","97 - REFUSED","0.016","0.0075","0.006","0.041","0.754","0.1642","0.341","0.948","0.026","0.0126","0.01","0.067","60000","8","28000"
"98 - MISSING","2 - Female","97 - REFUSED","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","1000","2","1000"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","134000","17","47000"
"1 - Within the past 30 days","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","98 - BLANK","0.62","0.1801","0.26","0.884","1","0","N/A","N/A","0.62","0.1801","0.26","0.884","83000","14","33000"
"97 - REFUSED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","98 - BLANK","0.38","0.1801","0.116","0.74","1","0","N/A","N/A","0.38","0.1801","0.116","0.74","51000","3","33000"
"Overall","1 - Male","98 - BLANK","0.639","0.1654","0.296","0.882","0.639","0.1654","0.296","0.882","1","0","N/A","N/A","86000","9","39000"
"1 - Within the past 30 days","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","98 - BLANK","0.26","0.1378","0.077","0.597","0.419","0.1948","0.126","0.782","0.406","0.2089","0.107","0.796","35000","6","20000"
"97 - REFUSED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","98 - BLANK","0.38","0.1801","0.116","0.74","1","0","N/A","N/A","0.594","0.2089","0.204","0.893","51000","3","33000"
"Overall","2 - Female","98 - BLANK","0.361","0.1654","0.118","0.704","0.361","0.1654","0.118","0.704","1","0","N/A","N/A","48000","8","27000"
"1 - Within the past 30 days","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","98 - BLANK","0.361","0.1654","0.118","0.704","0.581","0.1948","0.218","0.874","1","0","N/A","N/A","48000","8","27000"
"97 - REFUSED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","24905000","13397","371000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","3000","2","2000"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0.001","0.0002","0","0.001","1","0","N/A","N/A","0.001","0.0002","0","0.001","12000","10","6000"
"8 - At some point in the past 12 months LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","2000","3","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.996","0.0006","0.995","0.997","1","0","N/A","N/A","0.996","0.0006","0.995","0.997","24814000","13340","373000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0.001","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0003","0","0.002","22000","13","7000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.002","0.0004","0.001","0.003","1","0","N/A","N/A","0.002","0.0004","0.001","0.003","50000","28","11000"
"Overall","1 - Male","99 - LEGITIMATE SKIP","0.509","0.0052","0.499","0.52","0.509","0.0052","0.499","0.52","1","0","N/A","N/A","12682000","6856","243000"
"1 - Within the past 30 days","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","1000","1","1000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","99 - LEGITIMATE SKIP","0","0","0","0","0.155","0.1849","0.011","0.758","0","0","0","0","0","1","0"
"3 - More than 12 months ago","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.376","0.1993","0.099","0.769","0","0.0002","0","0.001","5000","5","3000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","0","0","0.244","0.2285","0.026","0.795","0","0","0","0","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","99 - LEGITIMATE SKIP","0.507","0.0052","0.497","0.518","0.509","0.0053","0.498","0.52","0.996","0.0009","0.994","0.998","12633000","6826","244000"
"97 - REFUSED","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.497","0.1769","0.192","0.804","0.001","0.0004","0","0.002","11000","5","5000"
"98 - MISSING","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0004","0.001","0.002","0.629","0.0992","0.419","0.799","0.002","0.0007","0.001","0.004","31000","17","9000"
"Overall","2 - Female","99 - LEGITIMATE SKIP","0.491","0.0052","0.48","0.501","0.491","0.0052","0.48","0.501","1","0","N/A","N/A","12223000","6541","210000"
"1 - Within the past 30 days","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.845","0.1849","0.242","0.989","0","0.0002","0","0.001","2000","1","2000"
"3 - More than 12 months ago","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.624","0.1993","0.231","0.901","0.001","0.0004","0","0.002","8000","5","5000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.756","0.2285","0.205","0.974","0","0.0001","0","0.001","2000","2","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","99 - LEGITIMATE SKIP","0.489","0.0053","0.478","0.5","0.491","0.0053","0.48","0.502","0.997","0.0007","0.995","0.998","12182000","6514","211000"
"97 - REFUSED","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.503","0.1769","0.196","0.808","0.001","0.0004","0","0.002","11000","8","5000"
"98 - MISSING","2 - Female","99 - LEGITIMATE SKIP","0.001","0.0002","0","0.001","0.371","0.0992","0.201","0.581","0.002","0.0005","0.001","0.003","18000","11","6000"
