"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","8 - Respondent is 19 years old","0.016","0.0007","0.014","0.017","0.016","0.0007","0.015","0.017","0.995","0.0021","0.988","0.998","4277000","1615","181000"
"97 - REFUSED","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","8 - Respondent is 19 years old","0","0","0","0","0.004","0.0043","0.001","0.032","0","0.0001","0","0.001","0","1","0"
"Overall","9 - Respondent is 20 years old","0.015","0.0007","0.014","0.017","0.015","0.0007","0.014","0.017","1","0","N/A","N/A","4141000","1636","181000"
"1 - Within the past 30 days","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","9 - Respondent is 20 years old","0","0","0","0","0.007","0.0055","0.001","0.034","0.001","0.0006","0","0.004","3000","2","2000"
"3 - More than 12 months ago","9 - Respondent is 20 years old","0","0","0","0","0.002","0.001","0.001","0.005","0.002","0.0008","0.001","0.005","8000","7","3000"
"8 - At some point in the past 12 months LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","9 - Respondent is 20 years old","0","0","0","0","0.177","0.157","0.024","0.652","0.001","0.0008","0","0.006","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","9 - Respondent is 20 years old","0.015","0.0007","0.014","0.017","0.015","0.0007","0.014","0.017","0.997","0.0013","0.993","0.998","4127000","1626","182000"
"97 - REFUSED","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
