"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"9 - At some point in the lifetime LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","8 - Respondent is 19 years old","0.014","0.0006","0.013","0.016","0.015","0.0006","0.013","0.016","0.991","0.0028","0.983","0.995","3892000","1516","166000"
"97 - REFUSED","8 - Respondent is 19 years old","0","0","0","0","0.046","0.0465","0.006","0.287","0.001","0.0011","0","0.008","4000","1","4000"
"98 - MISSING","8 - Respondent is 19 years old","0","0","0","0","0.036","0.0357","0.005","0.226","0.001","0.0011","0","0.008","4000","1","4000"
"Overall","9 - Respondent is 20 years old","0.016","0.0004","0.015","0.017","0.016","0.0004","0.015","0.017","1","0","N/A","N/A","4198000","1607","113000"
"1 - Within the past 30 days","9 - Respondent is 20 years old","0","0","0","0","0.005","0.0054","0.001","0.039","0.001","0.0007","0","0.005","3000","1","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","9 - Respondent is 20 years old","0","0","0","0","0.013","0.0125","0.002","0.087","0.001","0.001","0","0.007","4000","1","4000"
"3 - More than 12 months ago","9 - Respondent is 20 years old","0","0","0","0","0.008","0.0033","0.004","0.018","0.007","0.0028","0.003","0.015","29000","8","12000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","9 - Respondent is 20 years old","0.015","0.0004","0.015","0.016","0.016","0.0005","0.015","0.017","0.991","0.003","0.982","0.995","4159000","1596","112000"
"97 - REFUSED","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","9 - Respondent is 20 years old","0","0","0","0","0.026","0.0259","0.003","0.172","0.001","0.0007","0","0.005","3000","1","3000"
