"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Within the past 30 days","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","98 - BLANK","0.51","0.1956","0.177","0.833","1","0","N/A","N/A","0.51","0.1956","0.177","0.833","76000","13","32000"
"97 - REFUSED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","98 - BLANK","0.49","0.1956","0.167","0.823","1","0","N/A","N/A","0.49","0.1956","0.167","0.823","73000","5","48000"
"Overall","1 - Male","98 - BLANK","0.288","0.1522","0.084","0.643","0.288","0.1522","0.084","0.643","1","0","N/A","N/A","43000","7","23000"
"1 - Within the past 30 days","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","98 - BLANK","0.217","0.1356","0.053","0.579","0.425","0.2124","0.114","0.809","0.751","0.2171","0.226","0.969","32000","5","21000"
"97 - REFUSED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","98 - BLANK","0.072","0.0699","0.009","0.389","0.146","0.1533","0.014","0.668","0.249","0.2171","0.031","0.774","11000","2","10000"
"Overall","2 - Female","98 - BLANK","0.712","0.1522","0.357","0.916","0.712","0.1522","0.357","0.916","1","0","N/A","N/A","106000","11","53000"
"1 - Within the past 30 days","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","98 - BLANK","0.293","0.1571","0.083","0.655","0.575","0.2124","0.191","0.886","0.412","0.2288","0.095","0.823","43000","8","24000"
"97 - REFUSED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","98 - BLANK","0.419","0.2068","0.116","0.799","0.854","0.1533","0.332","0.986","0.588","0.2288","0.177","0.905","62000","3","47000"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","24893000","13585","341000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","4000","3","3000"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","9000","3","5000"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","8000","6","4000"
"8 - At some point in the past 12 months LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","3000","3","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.996","0.0008","0.994","0.997","1","0","N/A","N/A","0.996","0.0008","0.994","0.997","24794000","13539","341000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0.001","0.0006","0.001","0.003","1","0","N/A","N/A","0.001","0.0006","0.001","0.003","33000","11","15000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.002","0.0004","0.001","0.003","1","0","N/A","N/A","0.002","0.0004","0.001","0.003","41000","20","11000"
"Overall","1 - Male","99 - LEGITIMATE SKIP","0.51","0.0042","0.501","0.518","0.51","0.0042","0.501","0.518","1","0","N/A","N/A","12685000","6908","165000"
"1 - Within the past 30 days","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.606","0.3051","0.106","0.952","0","0.0002","0","0.001","3000","2","2000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.658","0.276","0.141","0.958","0","0.0003","0","0.002","6000","2","4000"
"3 - More than 12 months ago","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.58","0.2283","0.174","0.9","0","0.0002","0","0.001","5000","4","3000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","0","0","0.276","0.2509","0.03","0.826","0","0.0001","0","0.001","1000","1","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","99 - LEGITIMATE SKIP","0.508","0.0042","0.499","0.516","0.51","0.0043","0.501","0.518","0.996","0.001","0.994","0.998","12641000","6884","166000"
"97 - REFUSED","1 - Male","99 - LEGITIMATE SKIP","0","0.0003","0","0.002","0.328","0.2055","0.07","0.761","0.001","0.0006","0","0.004","11000","5","8000"
"98 - MISSING","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0004","0","0.002","0.47","0.1443","0.217","0.739","0.002","0.0007","0.001","0.004","19000","10","9000"
"Overall","2 - Female","99 - LEGITIMATE SKIP","0.49","0.0042","0.482","0.499","0.49","0.0042","0.482","0.499","1","0","N/A","N/A","12208000","6677","228000"
"1 - Within the past 30 days","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.394","0.3051","0.048","0.894","0","0.0001","0","0.001","2000","1","2000"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.342","0.276","0.042","0.859","0","0.0003","0","0.002","3000","1","3000"
"3 - More than 12 months ago","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.42","0.2283","0.1","0.826","0","0.0002","0","0.001","3000","2","2000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.724","0.2509","0.174","0.97","0","0.0001","0","0.001","2000","2","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","99 - LEGITIMATE SKIP","0.488","0.0044","0.479","0.497","0.49","0.0043","0.482","0.499","0.996","0.0013","0.992","0.997","12153000","6655","230000"
"97 - REFUSED","2 - Female","99 - LEGITIMATE SKIP","0.001","0.0005","0","0.003","0.672","0.2055","0.239","0.93","0.002","0.0011","0.001","0.006","22000","6","13000"
"98 - MISSING","2 - Female","99 - LEGITIMATE SKIP","0.001","0.0002","0.001","0.002","0.53","0.1443","0.261","0.783","0.002","0.0005","0.001","0.003","22000","10","6000"
