"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RECODE - FINAL EDITED AGE","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Within the past 30 days","7 - Respondent is 18 years old","0","0","0","0","0.001","0.0009","0","0.005","0","0.0001","0","0.001","0","4","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Respondent is 18 years old","0","0","0","0","0.01","0.004","0.004","0.022","0.001","0.0003","0","0.002","1000","9","0"
"3 - More than 12 months ago","7 - Respondent is 18 years old","0","0","0","0","0.002","0.0006","0.001","0.003","0.001","0.0005","0.001","0.003","2000","14","1000"
"8 - At some point in the past 12 months LOG ASSN","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Respondent is 18 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Respondent is 18 years old","0","0","0","0","0.044","0.0328","0.01","0.18","0","0.0003","0","0.002","1000","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Respondent is 18 years old","0.017","0.0002","0.016","0.017","0.017","0.0002","0.017","0.018","0.995","0.0008","0.994","0.997","1274000","9077","19000"
"97 - REFUSED","7 - Respondent is 18 years old","0","0","0","0","0.021","0.0096","0.008","0.052","0.001","0.0004","0","0.002","1000","8","0"
"98 - MISSING","7 - Respondent is 18 years old","0","0","0","0","0.046","0.0151","0.023","0.088","0.001","0.0004","0.001","0.002","2000","9","0"
"Overall","8 - Respondent is 19 years old","0.015","0.0003","0.015","0.016","0.015","0.0003","0.015","0.016","1","0","N/A","N/A","1169000","8297","22000"
"1 - Within the past 30 days","8 - Respondent is 19 years old","0","0","0","0","0.011","0.0053","0.004","0.029","0.001","0.0005","0","0.003","1000","8","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","8 - Respondent is 19 years old","0","0","0","0","0.01","0.0032","0.005","0.019","0.001","0.0003","0","0.002","1000","14","0"
"3 - More than 12 months ago","8 - Respondent is 19 years old","0","0","0","0","0.003","0.0008","0.002","0.005","0.003","0.0007","0.002","0.005","3000","28","1000"
"8 - At some point in the past 12 months LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","8 - Respondent is 19 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","8 - Respondent is 19 years old","0.015","0.0003","0.015","0.016","0.016","0.0003","0.015","0.016","0.994","0.0011","0.991","0.996","1162000","8230","22000"
"97 - REFUSED","8 - Respondent is 19 years old","0","0","0","0","0.019","0.0082","0.008","0.045","0.001","0.0003","0","0.002","1000","8","0"
"98 - MISSING","8 - Respondent is 19 years old","0","0","0","0","0.022","0.011","0.008","0.059","0.001","0.0003","0","0.002","1000","9","0"
"Overall","9 - Respondent is 20 years old","0.015","0.0002","0.015","0.016","0.015","0.0002","0.015","0.016","1","0","N/A","N/A","1144000","8284","18000"
"1 - Within the past 30 days","9 - Respondent is 20 years old","0","0","0","0","0.015","0.0045","0.008","0.027","0.002","0.0005","0.001","0.003","2000","13","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","9 - Respondent is 20 years old","0","0","0","0","0.015","0.0053","0.007","0.03","0.001","0.0005","0.001","0.003","2000","15","1000"
"3 - More than 12 months ago","9 - Respondent is 20 years old","0","0","0","0","0.004","0.001","0.003","0.007","0.004","0.0009","0.003","0.006","5000","37","1000"
"8 - At some point in the past 12 months LOG ASSN","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","9 - Respondent is 20 years old","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","9 - Respondent is 20 years old","0","0","0","0","0.015","0.0156","0.002","0.11","0","0.0002","0","0.001","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","9 - Respondent is 20 years old","0.015","0.0002","0.015","0.016","0.015","0.0002","0.015","0.016","0.992","0.0012","0.99","0.994","1135000","8212","18000"
"97 - REFUSED","9 - Respondent is 20 years old","0","0","0","0","0.006","0.0042","0.001","0.025","0","0.0002","0","0.001","0","4","0"
"98 - MISSING","9 - Respondent is 20 years old","0","0","0","0","0.01","0.0065","0.003","0.036","0","0.0002","0","0.001","0","2","0"
