"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"97 - REFUSED","5 - Male, Hispanic","1 - Heterosexual, that is, straight","0","0","0","0","0.088","0.0559","0.023","0.281","0","0.0003","0","0.002","2000","4","1000"
"98 - MISSING","5 - Male, Hispanic","1 - Heterosexual, that is, straight","0","0","0","0","0.106","0.0692","0.026","0.34","0","0.0001","0","0","1000","4","0"
"Overall","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0.078","0.0012","0.075","0.08","0.078","0.0012","0.075","0.08","1","0","N/A","N/A","4966000","17448","82000"
"1 - Within the past 30 days","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","0","0","0.027","0.0093","0.013","0.053","0.001","0.0002","0","0.001","3000","12","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","0","0","0.029","0.0081","0.017","0.051","0.001","0.0001","0","0.001","3000","14","1000"
"3 - More than 12 months ago","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0.0001","0","0.001","0.027","0.0053","0.018","0.04","0.005","0.0009","0.003","0.007","24000","68","5000"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0.077","0.0012","0.075","0.08","0.079","0.0013","0.076","0.081","0.994","0.001","0.991","0.996","4936000","17349","81000"
"97 - REFUSED","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","0","0","0.016","0.0097","0.005","0.053","0","0","0","0","0","4","0"
"98 - MISSING","6 - Female, Hispanic","1 - Heterosexual, that is, straight","0","0","0","0","0.052","0.0518","0.007","0.312","0","0.0001","0","0","0","1","0"
"Overall","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0.079","0.0011","0.077","0.081","0.079","0.0011","0.077","0.081","1","0","N/A","N/A","5021000","18890","70000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","0","0","0.041","0.0101","0.025","0.067","0.001","0.0002","0","0.001","4000","31","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","0","0","0.048","0.0123","0.029","0.08","0.001","0.0002","0.001","0.001","4000","38","1000"
"3 - More than 12 months ago","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0.001","0.0001","0.001","0.001","0.045","0.0048","0.036","0.055","0.008","0.0008","0.006","0.01","40000","201","4000"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","0","0","0.332","0.3134","0.028","0.895","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","0","0","0.002","0.0025","0","0.02","0","0","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0.078","0.0011","0.076","0.08","0.079","0.0011","0.077","0.082","0.99","0.0009","0.988","0.991","4969000","18601","71000"
"97 - REFUSED","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","0","0","0.099","0.0463","0.037","0.237","0","0.0002","0","0.001","2000","10","1000"
"98 - MISSING","7 - Male or Female, Other Races","1 - Heterosexual, that is, straight","0","0","0","0","0.165","0.0827","0.056","0.397","0","0.0001","0","0","1000","7","0"
"Overall","Overall","2 - Lesbian or Gay","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","1291000","4640","29000"
"1 - Within the past 30 days","Overall","2 - Lesbian or Gay","0.005","0.0014","0.003","0.008","1","0","N/A","N/A","0.005","0.0014","0.003","0.008","6000","27","2000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","2 - Lesbian or Gay","0.004","0.0013","0.002","0.008","1","0","N/A","N/A","0.004","0.0013","0.002","0.008","6000","18","2000"
"3 - More than 12 months ago","Overall","2 - Lesbian or Gay","0.023","0.0037","0.016","0.032","1","0","N/A","N/A","0.023","0.0037","0.016","0.032","30000","107","5000"
"8 - At some point in the past 12 months LOG ASSN","Overall","2 - Lesbian or Gay","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","2 - Lesbian or Gay","0.001","0.0007","0","0.004","1","0","N/A","N/A","0.001","0.0007","0","0.004","2000","5","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","2 - Lesbian or Gay","0.966","0.0046","0.956","0.974","1","0","N/A","N/A","0.966","0.0046","0.956","0.974","1247000","4479","29000"
"97 - REFUSED","Overall","2 - Lesbian or Gay","0","0.0004","0","0.003","1","0","N/A","N/A","0","0.0004","0","0.003","1000","2","1000"
"98 - MISSING","Overall","2 - Lesbian or Gay","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"Overall","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0.344","0.0125","0.32","0.37","0.344","0.0125","0.32","0.37","1","0","N/A","N/A","445000","1351","19000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0.003","0.0011","0.001","0.006","0.611","0.128","0.347","0.822","0.008","0.003","0.004","0.017","4000","13","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0.003","0.001","0.001","0.006","0.587","0.1563","0.28","0.838","0.007","0.0029","0.003","0.016","3000","10","1000"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0.011","0.0023","0.007","0.016","0.461","0.0756","0.317","0.612","0.031","0.0065","0.02","0.047","14000","38","3000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0003","0","0.002","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0","0.0002","0","0.002","0.189","0.1838","0.021","0.721","0.001","0.0007","0","0.005","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0.328","0.0125","0.303","0.354","0.34","0.0127","0.315","0.365","0.952","0.0079","0.934","0.966","423000","1287","19000"
"97 - REFUSED","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0","0","0","0","0.043","0.0577","0.003","0.433","0","0.0001","0","0","0","1","0"
"98 - MISSING","1 - Male, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0.278","0.0119","0.254","0.302","0.278","0.0119","0.254","0.302","1","0","N/A","N/A","358000","1251","18000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0.001","0.0004","0","0.002","0.126","0.0806","0.032","0.386","0.002","0.0014","0.001","0.008","1000","6","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0.001","0.0004","0","0.002","0.122","0.08","0.03","0.384","0.002","0.0013","0","0.008","1000","4","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0.009","0.0023","0.005","0.015","0.377","0.0682","0.252","0.52","0.031","0.0084","0.018","0.053","11000","40","3000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0.001","0.0007","0","0.004","0.632","0.2432","0.174","0.933","0.003","0.0023","0.001","0.015","1000","2","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0.267","0.0117","0.244","0.291","0.276","0.012","0.253","0.301","0.962","0.0091","0.939","0.977","345000","1199","18000"
"97 - REFUSED","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female, White, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0.063","0.0045","0.055","0.073","0.063","0.0045","0.055","0.073","1","0","N/A","N/A","82000","289","6000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0.0001","0","0.001","0.017","0.0172","0.002","0.122","0.001","0.0013","0","0.01","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0.001","0.0007","0","0.004","0.215","0.135","0.052","0.577","0.015","0.0109","0.003","0.063","1000","2","1000"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0.0002","0","0.001","0.011","0.0088","0.002","0.053","0.004","0.0031","0.001","0.019","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0.062","0.0045","0.054","0.072","0.064","0.0047","0.056","0.075","0.98","0.0114","0.939","0.994","80000","284","6000"
"97 - REFUSED","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - Male, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0.069","0.0042","0.061","0.078","0.069","0.0042","0.061","0.078","1","0","N/A","N/A","89000","404","6000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0.0001","0","0.001","0.025","0.0252","0.003","0.171","0.002","0.0017","0","0.013","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","0","0","0.003","0.0021","0.001","0.013","0.001","0.0007","0","0.004","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0.069","0.0042","0.061","0.078","0.071","0.0043","0.063","0.081","0.997","0.0018","0.989","0.999","89000","401","6000"
"97 - REFUSED","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - Female, Black, Not Hisp","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","5 - Male, Hispanic","2 - Lesbian or Gay","0.109","0.0076","0.094","0.125","0.109","0.0076","0.094","0.125","1","0","N/A","N/A","140000","463","10000"
"1 - Within the past 30 days","5 - Male, Hispanic","2 - Lesbian or Gay","0.001","0.0007","0","0.004","0.19","0.1171","0.049","0.52","0.008","0.0061","0.002","0.036","1000","4","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - Male, Hispanic","2 - Lesbian or Gay","0.001","0.0006","0.001","0.003","0.062","0.0281","0.024","0.148","0.013","0.0057","0.005","0.031","2000","9","1000"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","2 - Lesbian or Gay","0","0.0002","0","0.001","0.179","0.1596","0.024","0.659","0.002","0.0018","0","0.011","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","2 - Lesbian or Gay","0.106","0.0074","0.092","0.122","0.11","0.0076","0.095","0.126","0.977","0.0083","0.953","0.989","137000","448","10000"
"97 - REFUSED","5 - Male, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","5 - Male, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","6 - Female, Hispanic","2 - Lesbian or Gay","0.066","0.0047","0.057","0.076","0.066","0.0047","0.057","0.076","1","0","N/A","N/A","86000","407","6000"
"1 - Within the past 30 days","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","6 - Female, Hispanic","2 - Lesbian or Gay","0.001","0.0008","0","0.005","0.06","0.0324","0.02","0.168","0.021","0.0124","0.006","0.067","2000","6","1000"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","2 - Lesbian or Gay","0.065","0.0047","0.056","0.075","0.067","0.0048","0.058","0.077","0.979","0.0124","0.933","0.993","84000","400","6000"
"97 - REFUSED","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","6 - Female, Hispanic","2 - Lesbian or Gay","0","0","0","0","1","0","N/A","N/A","0","0.0004","0","0.003","0","1","0"
"Overall","7 - Male or Female, Other Races","2 - Lesbian or Gay","0.071","0.0051","0.061","0.082","0.071","0.0051","0.061","0.082","1","0","N/A","N/A","91000","475","7000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0.0001","0","0.001","0.032","0.0293","0.005","0.183","0.002","0.002","0","0.013","0","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0.0003","0","0.002","0.077","0.0739","0.01","0.404","0.005","0.0047","0.001","0.033","0","2","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","2 - Lesbian or Gay","0.001","0.0003","0","0.001","0.026","0.0116","0.01","0.063","0.008","0.0037","0.003","0.02","1000","10","0"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","2 - Lesbian or Gay","0.069","0.0053","0.059","0.08","0.071","0.0055","0.061","0.083","0.979","0.0091","0.95","0.991","89000","460","7000"
"97 - REFUSED","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0.0004","0","0.003","0.957","0.0577","0.567","0.997","0.006","0.0057","0.001","0.041","1000","1","1000"
"98 - MISSING","7 - Male or Female, Other Races","2 - Lesbian or Gay","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","3 - Bisexual","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","2096000","10367","30000"
"1 - Within the past 30 days","Overall","3 - Bisexual","0.006","0.0011","0.005","0.009","1","0","N/A","N/A","0.006","0.0011","0.005","0.009","13000","67","2000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","3 - Bisexual","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","3 - Bisexual","0.004","0.0009","0.002","0.006","1","0","N/A","N/A","0.004","0.0009","0.002","0.006","8000","54","2000"
"3 - More than 12 months ago","Overall","3 - Bisexual","0.037","0.0031","0.032","0.044","1","0","N/A","N/A","0.037","0.0031","0.032","0.044","78000","302","7000"
"8 - At some point in the past 12 months LOG ASSN","Overall","3 - Bisexual","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","3 - Bisexual","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","3 - Bisexual","0.952","0.0037","0.944","0.958","1","0","N/A","N/A","0.952","0.0037","0.944","0.958","1994000","9936","30000"
"97 - REFUSED","Overall","3 - Bisexual","0.001","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0003","0","0.002","1000","5","1000"
"98 - MISSING","Overall","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","1 - Male, White, Not Hisp","3 - Bisexual","0.172","0.0047","0.163","0.182","0.172","0.0047","0.163","0.182","1","0","N/A","N/A","360000","1402","10000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","3 - Bisexual","0.001","0.0003","0","0.002","0.115","0.05","0.046","0.258","0.004","0.0019","0.002","0.011","2000","8","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","3 - Bisexual","0.001","0.0005","0","0.003","0.227","0.1093","0.078","0.507","0.005","0.0029","0.002","0.016","2000","6","1000"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","3 - Bisexual","0.012","0.0022","0.008","0.017","0.31","0.0462","0.225","0.409","0.067","0.0126","0.046","0.097","24000","57","5000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","3 - Bisexual","0.159","0.0045","0.15","0.168","0.167","0.0047","0.157","0.176","0.922","0.0134","0.89","0.945","332000","1329","10000"
"97 - REFUSED","1 - Male, White, Not Hisp","3 - Bisexual","0","0.0002","0","0.002","0.501","0.2892","0.09","0.911","0.002","0.0013","0","0.009","1000","2","0"
"98 - MISSING","1 - Male, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female, White, Not Hisp","3 - Bisexual","0.433","0.0058","0.421","0.444","0.433","0.0058","0.421","0.444","1","0","N/A","N/A","907000","4676","19000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","3 - Bisexual","0.003","0.0007","0.002","0.005","0.49","0.0931","0.313","0.67","0.007","0.0015","0.005","0.011","7000","32","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","3 - Bisexual","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0004","0","0.003","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","3 - Bisexual","0.002","0.0005","0.001","0.003","0.54","0.1142","0.318","0.748","0.005","0.0011","0.003","0.008","4000","33","1000"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","3 - Bisexual","0.019","0.0019","0.015","0.023","0.505","0.0458","0.414","0.596","0.044","0.0043","0.036","0.053","40000","173","4000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","3 - Bisexual","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","3 - Bisexual","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","3 - Bisexual","0.408","0.0059","0.396","0.42","0.429","0.0061","0.417","0.441","0.943","0.005","0.932","0.952","856000","4434","19000"
"97 - REFUSED","2 - Female, White, Not Hisp","3 - Bisexual","0","0.0002","0","0.001","0.364","0.2836","0.047","0.87","0","0.0004","0","0.003","0","1","0"
"98 - MISSING","2 - Female, White, Not Hisp","3 - Bisexual","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","3 - Male, Black, Not Hisp","3 - Bisexual","0.029","0.0029","0.024","0.036","0.029","0.0029","0.024","0.036","1","0","N/A","N/A","61000","226","6000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","3 - Bisexual","0","0.0001","0","0.001","0.017","0.0174","0.002","0.121","0.004","0.0039","0.001","0.029","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","3 - Bisexual","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
