"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Within the past 30 days","1 - Male","94 - DON T KNOW","0.01","0.0101","0.001","0.073","1","0","N/A","N/A","0.028","0.0276","0.004","0.181","14000","1","14000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","94 - DON T KNOW","0.03","0.0164","0.01","0.087","1","0","N/A","N/A","0.084","0.0434","0.029","0.222","43000","5","23000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","94 - DON T KNOW","0.317","0.0428","0.238","0.409","0.335","0.0459","0.249","0.432","0.884","0.05","0.741","0.953","449000","82","75000"
"97 - REFUSED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","94 - DON T KNOW","0.001","0.001","0","0.006","0.268","0.2529","0.027","0.83","0.003","0.0027","0.001","0.017","2000","2","1000"
"Overall","2 - Female","94 - DON T KNOW","0.641","0.0468","0.543","0.729","0.641","0.0468","0.543","0.729","1","0","N/A","N/A","908000","166","127000"
"1 - Within the past 30 days","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","94 - DON T KNOW","0.003","0.0034","0","0.026","1","0","N/A","N/A","0.005","0.0054","0.001","0.041","5000","1","5000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","94 - DON T KNOW","0.631","0.0482","0.53","0.722","0.665","0.0459","0.568","0.751","0.984","0.0099","0.946","0.996","894000","163","130000"
"97 - REFUSED","2 - Female","94 - DON T KNOW","0.004","0.0036","0","0.027","1","0","N/A","N/A","0.005","0.0056","0.001","0.042","5000","1","5000"
"98 - MISSING","2 - Female","94 - DON T KNOW","0.003","0.0033","0","0.024","0.732","0.2529","0.17","0.973","0.005","0.0051","0.001","0.038","5000","1","5000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","2813000","470","196000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0.001","0.0011","0","0.008","1","0","N/A","N/A","0.001","0.0011","0","0.008","3000","1","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","97 - REFUSED","0.006","0.0032","0.002","0.018","1","0","N/A","N/A","0.006","0.0032","0.002","0.018","18000","6","9000"
"8 - At some point in the past 12 months LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0.001","0.0009","0","0.006","1","0","N/A","N/A","0.001","0.0009","0","0.006","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","97 - REFUSED","0.973","0.0082","0.951","0.985","1","0","N/A","N/A","0.973","0.0082","0.951","0.985","2737000","454","194000"
"97 - REFUSED","Overall","97 - REFUSED","0.018","0.0074","0.008","0.041","1","0","N/A","N/A","0.018","0.0074","0.008","0.041","51000","7","21000"
"98 - MISSING","Overall","97 - REFUSED","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.001","0.0008","0","0.006","2000","1","2000"
"Overall","1 - Male","97 - REFUSED","0.371","0.0361","0.302","0.446","0.371","0.0361","0.302","0.446","1","0","N/A","N/A","1045000","172","139000"
"1 - Within the past 30 days","1 - Male","97 - REFUSED","0.001","0.0011","0","0.008","1","0","N/A","N/A","0.003","0.0028","0","0.021","3000","1","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","97 - REFUSED","0.003","0.0023","0.001","0.014","0.487","0.2566","0.108","0.882","0.008","0.0062","0.002","0.036","9000","3","6000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","97 - REFUSED","0.001","0.0009","0","0.006","1","0","N/A","N/A","0.002","0.0023","0","0.018","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","97 - REFUSED","0.353","0.036","0.285","0.428","0.363","0.0366","0.293","0.439","0.951","0.0193","0.894","0.978","994000","162","138000"
"97 - REFUSED","1 - Male","97 - REFUSED","0.012","0.0065","0.004","0.035","0.689","0.1763","0.298","0.921","0.033","0.0177","0.011","0.094","35000","4","18000"
"98 - MISSING","1 - Male","97 - REFUSED","0.001","0.0008","0","0.006","1","0","N/A","N/A","0.002","0.0022","0","0.016","2000","1","2000"
"Overall","2 - Female","97 - REFUSED","0.629","0.0361","0.554","0.698","0.629","0.0361","0.554","0.698","1","0","N/A","N/A","1768000","298","138000"
"1 - Within the past 30 days","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","97 - REFUSED","0.003","0.0022","0.001","0.013","0.513","0.2566","0.118","0.892","0.005","0.0036","0.001","0.021","9000","3","6000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","97 - REFUSED","0.62","0.0354","0.547","0.688","0.637","0.0366","0.561","0.707","0.986","0.0065","0.965","0.994","1743000","292","136000"
"97 - REFUSED","2 - Female","97 - REFUSED","0.006","0.0035","0.002","0.02","0.311","0.1763","0.079","0.702","0.009","0.0055","0.003","0.03","16000","3","10000"
"98 - MISSING","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","150000","19","46000"
"1 - Within the past 30 days","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","98 - BLANK","0.869","0.0981","0.54","0.974","1","0","N/A","N/A","0.869","0.0981","0.54","0.974","130000","16","43000"
"97 - REFUSED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","98 - BLANK","0.131","0.0981","0.026","0.46","1","0","N/A","N/A","0.131","0.0981","0.026","0.46","20000","3","16000"
"Overall","1 - Male","98 - BLANK","0.734","0.1421","0.39","0.922","0.734","0.1421","0.39","0.922","1","0","N/A","N/A","110000","13","43000"
"1 - Within the past 30 days","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","98 - BLANK","0.603","0.162","0.281","0.855","0.694","0.1626","0.327","0.913","0.822","0.1337","0.424","0.967","90000","10","40000"
"97 - REFUSED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","98 - BLANK","0.131","0.0981","0.026","0.46","1","0","N/A","N/A","0.178","0.1337","0.033","0.576","20000","3","16000"
"Overall","2 - Female","98 - BLANK","0.266","0.1421","0.078","0.61","0.266","0.1421","0.078","0.61","1","0","N/A","N/A","40000","6","22000"
"1 - Within the past 30 days","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","98 - BLANK","0.266","0.1421","0.078","0.61","0.306","0.1626","0.087","0.673","1","0","N/A","N/A","40000","6","22000"
"97 - REFUSED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","24943000","13722","321000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0.001","0.0004","0","0.002","1","0","N/A","N/A","0.001","0.0004","0","0.002","18000","8","9000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","8000","4","4000"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0.001","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0003","0","0.002","19000","11","7000"
"8 - At some point in the past 12 months LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.995","0.0008","0.993","0.996","1","0","N/A","N/A","0.995","0.0008","0.993","0.996","24811000","13654","322000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0.002","0.0006","0.001","0.003","1","0","N/A","N/A","0.002","0.0006","0.001","0.003","42000","22","14000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.002","0.0005","0.001","0.003","1","0","N/A","N/A","0.002","0.0005","0.001","0.003","42000","22","11000"
"Overall","1 - Male","99 - LEGITIMATE SKIP","0.509","0.0054","0.498","0.52","0.509","0.0054","0.498","0.52","1","0","N/A","N/A","12705000","7050","188000"
"1 - Within the past 30 days","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.627","0.2095","0.217","0.91","0.001","0.0005","0","0.003","11000","5","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.927","0.0795","0.547","0.992","0.001","0.0003","0","0.002","7000","3","4000"
"3 - More than 12 months ago","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.392","0.1776","0.126","0.742","0.001","0.0003","0","0.002","8000","5","4000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.002","3000","1","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","99 - LEGITIMATE SKIP","0.506","0.0055","0.495","0.517","0.509","0.0055","0.498","0.52","0.993","0.0012","0.99","0.995","12619000","7006","189000"
"97 - REFUSED","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0003","0","0.002","0.51","0.1126","0.296","0.72","0.002","0.0006","0.001","0.003","22000","12","7000"
"98 - MISSING","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0004","0.001","0.003","0.847","0.0838","0.602","0.953","0.003","0.0008","0.002","0.005","36000","18","11000"
"Overall","2 - Female","99 - LEGITIMATE SKIP","0.491","0.0054","0.48","0.502","0.491","0.0054","0.48","0.502","1","0","N/A","N/A","12238000","6672","228000"
"1 - Within the past 30 days","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.373","0.2095","0.09","0.783","0.001","0.0004","0","0.003","7000","3","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","99 - LEGITIMATE SKIP","0","0","0","0","0.073","0.0795","0.008","0.453","0","0","0","0","1000","1","1000"
"3 - More than 12 months ago","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.608","0.1776","0.258","0.874","0.001","0.0005","0","0.003","12000","6","6000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","99 - LEGITIMATE SKIP","0.489","0.0054","0.478","0.5","0.491","0.0055","0.48","0.502","0.996","0.0009","0.994","0.998","12192000","6648","229000"
"97 - REFUSED","2 - Female","99 - LEGITIMATE SKIP","0.001","0.0004","0","0.002","0.49","0.1126","0.28","0.704","0.002","0.0008","0.001","0.004","21000","10","10000"
"98 - MISSING","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.153","0.0838","0.047","0.398","0.001","0.0003","0","0.002","6000","4","4000"
