"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","IMPUTATION REVISED GENDER","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","94 - DON T KNOW","0.971","0.0071","0.953","0.982","1","0","N/A","N/A","0.971","0.0071","0.953","0.982","1524000","260","149000"
"97 - REFUSED","Overall","94 - DON T KNOW","0.002","0.0015","0","0.011","1","0","N/A","N/A","0.002","0.0015","0","0.011","2000","1","2000"
"98 - MISSING","Overall","94 - DON T KNOW","0.014","0.0074","0.005","0.04","1","0","N/A","N/A","0.014","0.0074","0.005","0.04","22000","5","11000"
"Overall","1 - Male","94 - DON T KNOW","0.284","0.0398","0.212","0.371","0.284","0.0398","0.212","0.371","1","0","N/A","N/A","446000","98","65000"
"1 - Within the past 30 days","1 - Male","94 - DON T KNOW","0.003","0.0032","0","0.023","0.689","0.3032","0.114","0.974","0.011","0.011","0.001","0.077","5000","1","5000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","94 - DON T KNOW","0.002","0.0017","0","0.013","0.55","0.3501","0.067","0.954","0.006","0.006","0.001","0.044","3000","1","3000"
"3 - More than 12 months ago","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","94 - DON T KNOW","0.274","0.0385","0.203","0.357","0.282","0.0398","0.209","0.368","0.963","0.0226","0.879","0.989","430000","94","63000"
"97 - REFUSED","1 - Male","94 - DON T KNOW","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","94 - DON T KNOW","0.006","0.0049","0.001","0.032","0.405","0.2989","0.053","0.892","0.02","0.0171","0.004","0.104","9000","2","8000"
"Overall","2 - Female","94 - DON T KNOW","0.716","0.0398","0.629","0.788","0.716","0.0398","0.629","0.788","1","0","N/A","N/A","1123000","174","138000"
"1 - Within the past 30 days","2 - Female","94 - DON T KNOW","0.001","0.0014","0","0.011","0.311","0.3032","0.026","0.886","0.002","0.002","0","0.015","2000","1","2000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","94 - DON T KNOW","0.001","0.0014","0","0.011","0.45","0.3501","0.046","0.933","0.002","0.002","0","0.015","2000","1","2000"
"3 - More than 12 months ago","2 - Female","94 - DON T KNOW","0.005","0.0038","0.001","0.022","1","0","N/A","N/A","0.007","0.0052","0.002","0.03","8000","2","6000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","94 - DON T KNOW","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","94 - DON T KNOW","0.697","0.0394","0.613","0.77","0.718","0.0398","0.632","0.791","0.975","0.0109","0.941","0.989","1094000","166","137000"
"97 - REFUSED","2 - Female","94 - DON T KNOW","0.002","0.0015","0","0.011","1","0","N/A","N/A","0.002","0.0021","0","0.015","2000","1","2000"
"98 - MISSING","2 - Female","94 - DON T KNOW","0.008","0.0064","0.002","0.038","0.595","0.2989","0.108","0.947","0.012","0.0089","0.003","0.053","13000","3","10000"
"Overall","Overall","97 - REFUSED","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","3039000","477","207000"
"1 - Within the past 30 days","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","97 - REFUSED","0.006","0.0043","0.001","0.025","1","0","N/A","N/A","0.006","0.0043","0.001","0.025","19000","2","13000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","97 - REFUSED","0.982","0.0091","0.951","0.993","1","0","N/A","N/A","0.982","0.0091","0.951","0.993","2984000","469","209000"
"97 - REFUSED","Overall","97 - REFUSED","0.01","0.0078","0.002","0.046","1","0","N/A","N/A","0.01","0.0078","0.002","0.046","31000","5","23000"
"98 - MISSING","Overall","97 - REFUSED","0.002","0.0017","0","0.012","1","0","N/A","N/A","0.002","0.0017","0","0.012","5000","1","5000"
"Overall","1 - Male","97 - REFUSED","0.382","0.0274","0.328","0.438","0.382","0.0274","0.328","0.438","1","0","N/A","N/A","1160000","182","121000"
"1 - Within the past 30 days","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","97 - REFUSED","0.006","0.0043","0.001","0.025","1","0","N/A","N/A","0.016","0.0115","0.004","0.066","19000","2","13000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","97 - REFUSED","0.373","0.0289","0.317","0.433","0.38","0.0285","0.325","0.439","0.977","0.0126","0.932","0.993","1134000","177","123000"
"97 - REFUSED","1 - Male","97 - REFUSED","0.003","0.0017","0.001","0.009","0.248","0.2174","0.031","0.774","0.007","0.0046","0.002","0.026","8000","3","5000"
"98 - MISSING","1 - Male","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","2 - Female","97 - REFUSED","0.618","0.0274","0.562","0.672","0.618","0.0274","0.562","0.672","1","0","N/A","N/A","1879000","295","144000"
"1 - Within the past 30 days","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","97 - REFUSED","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","97 - REFUSED","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","97 - REFUSED","0.609","0.0274","0.553","0.662","0.62","0.0285","0.561","0.675","0.985","0.0125","0.924","0.997","1850000","292","146000"
"97 - REFUSED","2 - Female","97 - REFUSED","0.008","0.0076","0.001","0.054","0.752","0.2174","0.226","0.969","0.013","0.0122","0.002","0.084","24000","2","23000"
"98 - MISSING","2 - Female","97 - REFUSED","0.002","0.0017","0","0.012","1","0","N/A","N/A","0.003","0.0027","0","0.02","5000","1","5000"
"Overall","Overall","98 - BLANK","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","129000","17","37000"
"1 - Within the past 30 days","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","98 - BLANK","0.584","0.1283","0.327","0.802","1","0","N/A","N/A","0.584","0.1283","0.327","0.802","75000","10","28000"
"97 - REFUSED","Overall","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","Overall","98 - BLANK","0.416","0.1283","0.198","0.673","1","0","N/A","N/A","0.416","0.1283","0.198","0.673","54000","7","22000"
"Overall","1 - Male","98 - BLANK","0.539","0.1331","0.285","0.775","0.539","0.1331","0.285","0.775","1","0","N/A","N/A","69000","11","26000"
"1 - Within the past 30 days","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","98 - BLANK","0.347","0.1118","0.164","0.588","0.594","0.1629","0.274","0.85","0.643","0.1452","0.336","0.865","45000","7","19000"
"97 - REFUSED","1 - Male","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","1 - Male","98 - BLANK","0.193","0.0945","0.066","0.447","0.463","0.202","0.144","0.815","0.357","0.1452","0.135","0.664","25000","4","14000"
"Overall","2 - Female","98 - BLANK","0.461","0.1331","0.225","0.715","0.461","0.1331","0.225","0.715","1","0","N/A","N/A","59000","6","25000"
"1 - Within the past 30 days","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","98 - BLANK","0.237","0.1156","0.079","0.529","0.406","0.1629","0.15","0.726","0.515","0.2075","0.167","0.849","30000","3","18000"
"97 - REFUSED","2 - Female","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","2 - Female","98 - BLANK","0.223","0.1173","0.069","0.528","0.537","0.202","0.185","0.856","0.485","0.2075","0.151","0.833","29000","3","17000"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","24892000","14270","341000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.001","6000","4","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","4000","3","3000"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0.001","0.0003","0","0.002","1","0","N/A","N/A","0.001","0.0003","0","0.002","18000","12","7000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.996","0.0006","0.995","0.997","1","0","N/A","N/A","0.996","0.0006","0.995","0.997","24803000","14211","340000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0.001","0.0004","0.001","0.002","1","0","N/A","N/A","0.001","0.0004","0.001","0.002","28000","16","9000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","27000","22","6000"
"Overall","1 - Male","99 - LEGITIMATE SKIP","0.509","0.0051","0.499","0.52","0.509","0.0051","0.499","0.52","1","0","N/A","N/A","12681000","7287","209000"
"1 - Within the past 30 days","1 - Male","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.664","0.2699","0.148","0.957","0","0.0003","0","0.002","4000","1","4000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0002","0","0.002","3000","1","3000"
"2 - More than 30 days ago but within the past 12 mos","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0003","0","0.001","0.734","0.148","0.376","0.927","0.001","0.0005","0","0.003","13000","8","7000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male","99 - LEGITIMATE SKIP","0.507","0.0051","0.497","0.517","0.509","0.0051","0.499","0.519","0.996","0.001","0.993","0.997","12624000","7251","210000"
"97 - REFUSED","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0003","0","0.002","0.724","0.1532","0.36","0.924","0.002","0.0006","0.001","0.003","20000","13","7000"
"98 - MISSING","1 - Male","99 - LEGITIMATE SKIP","0.001","0.0002","0","0.001","0.58","0.1195","0.341","0.788","0.001","0.0004","0.001","0.002","16000","13","5000"
"Overall","2 - Female","99 - LEGITIMATE SKIP","0.491","0.0051","0.48","0.501","0.491","0.0051","0.48","0.501","1","0","N/A","N/A","12211000","6983","215000"
"1 - Within the past 30 days","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.336","0.2699","0.043","0.852","0","0.0001","0","0.001","2000","3","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0003","0","0.001","4000","3","3000"
"3 - More than 12 months ago","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.266","0.148","0.073","0.624","0","0.0002","0","0.001","5000","4","3000"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","2000","1","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female","99 - LEGITIMATE SKIP","0.489","0.0051","0.479","0.5","0.491","0.0051","0.481","0.501","0.997","0.0006","0.996","0.998","12179000","6960","214000"
"97 - REFUSED","2 - Female","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.276","0.1532","0.076","0.64","0.001","0.0004","0","0.002","8000","3","5000"
"98 - MISSING","2 - Female","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.42","0.1195","0.212","0.659","0.001","0.0003","0.001","0.002","12000","9","4000"
